abhor,Find repugnant
precipitous,Extremely steep
incense,Make furious
tenacious,Stubbornly unyielding
unwitting,Not aware or knowing
corroborate,Give evidence for
pernicious,Exceedingly harmful
foray,An initial attempt
transient,Lasting a very short time
beleaguer,Annoy persistently
lament,Express grief verbally
matriculate,Enroll as a student
insubordination,Defiance of authority
nefarious,Extremely wicked
perpetual,Continuing forever
redolent,Have a strong pleasant odor
extol,"Praise, glorify or honour"
avert,Turn away or aside
temerity,Fearless daring
obfuscate,Make obscure or unclear
glut,Supply with an excess of
dilapidated,In a state of decay
vitiate,Make imperfect
precept,A rule of personal conduct
deluge,A heavy rain
mellifluous,Pleasing to the ear
saccharine,Overly sweet
willful,Done by design
tenuous,Very thin in diameter
collusion,Secret agreement
fervent,Characterized by intense emotion
antagonize,Provoke the hostility of
lugubrious,Excessively mournful
bolster,Support or strengthen
aloof,Remote in manner
renounce,Turn away from
nostalgia,A longing for something past
foment,Try to stir up
ostensibly,From appearances alone
pervade,Spread or diffuse through
harrowing,Causing extreme distress
acrid,Strong and sharp
inordinate,Beyond normal limits
brackish,Slightly salty
edify,Make understand
sequester,Keep away from others
putative,purported
wistful,Showing pensive sadness
trepidation,A feeling of alarm or dread
mortify,Cause to feel shame
Word, Defenition
